Patch ID,Classe cible,Patched Acc (%),Defended Acc (%),Gain Acc (%)
0,soap dispenser,34.0,62.0,28.0
1,cornet,16.0,58.0,42.0
2,plate,28.0,64.0,36.0
3,banana,32.0,58.0,26.0
4,cup,30.0,54.0,24.0
5,typewriter keyboard,38.0,58.0,20.0
6,electric guitar,30.0,56.0,26.0
7,hair spray,28.0,54.0,26.0
8,sock,22.0,54.0,32.0
9,cellular telephone,18.0,56.0,38.0
Moyenne,-,27.6,57.4,29.8
